,name,learning_model,feature,clip_counts,negation,remove_stopwords,lemmatise,additional_features,avg_cv_acc,rmse,min_acc,max_acc
0,baseline-NB,MultinomialNB(),unigram,True,False,False,False,False,0.829,0.021071307505705458,0.785,0.855
1,param-exp-NB-1,MultinomialNB(),unigram,True,True,False,True,True,0.8160000000000001,0.0238537208837531,0.775,0.86
2,param-exp-NB-2,MultinomialNB(),unigram,True,True,False,True,False,0.8240000000000001,0.022671568097509243,0.79,0.855
3,param-exp-NB-3,MultinomialNB(),unigram,True,True,False,False,True,0.812,0.020273134932713266,0.78,0.845
4,param-exp-NB-4,MultinomialNB(),unigram,True,True,False,False,False,0.8109999999999999,0.01972308292331599,0.775,0.835
5,param-exp-NB-5,MultinomialNB(),unigram,True,False,False,True,True,0.8145,0.02631064423384571,0.775,0.86
6,param-exp-NB-6,MultinomialNB(),unigram,True,False,False,True,False,0.8119999999999999,0.0245153013442625,0.77,0.85
7,param-exp-NB-7,MultinomialNB(),unigram,True,False,False,False,True,0.8140000000000001,0.02130727575266248,0.78,0.845
8,param-exp-NB-8,MultinomialNB(),unigram,True,False,False,False,False,0.8069999999999998,0.020273134932713262,0.77,0.835
9,param-exp-NB-9,MultinomialNB(),unigram,False,True,False,True,True,0.7785,0.030417922348510273,0.73,0.82
10,param-exp-NB-10,MultinomialNB(),unigram,False,True,False,True,False,0.7945,0.021148285982556584,0.76,0.83
11,param-exp-NB-11,MultinomialNB(),unigram,False,True,False,False,True,0.7765,0.03612824379900025,0.705,0.825
12,param-exp-NB-12,MultinomialNB(),unigram,False,True,False,False,False,0.7845000000000001,0.02553918557824426,0.74,0.82
13,param-exp-NB-13,MultinomialNB(),unigram,False,False,False,True,True,0.7819999999999999,0.02249444375840399,0.745,0.815
14,param-exp-NB-14,MultinomialNB(),unigram,False,False,False,True,False,0.7790000000000001,0.02321637353248782,0.74,0.81
15,param-exp-NB-15,MultinomialNB(),unigram,False,False,False,False,True,0.7855000000000001,0.02504495957273638,0.75,0.82
16,param-exp-NB-16,MultinomialNB(),unigram,False,False,False,False,False,0.7825000000000001,0.02685609800399158,0.735,0.82
17,param-exp-NB-17,MultinomialNB(),bigram,True,True,False,True,True,0.7990000000000002,0.02477902338672771,0.755,0.84
18,param-exp-NB-18,MultinomialNB(),bigram,True,True,False,True,False,0.8190000000000002,0.02046948949045869,0.785,0.85
19,param-exp-NB-19,MultinomialNB(),bigram,True,True,False,False,True,0.807,0.019519221295943107,0.78,0.84
20,param-exp-NB-20,MultinomialNB(),bigram,True,True,False,False,False,0.8220000000000001,0.02609597670139976,0.785,0.875
